dataset,N,N_indexed,method,pattern,frac,seed,query_count,encountered_total_events,predicate_checked_total_events,distance_scored_total_events,frontier_inserted_total_events,expanded_total_events,returned_total_events,encountered_revoked_events,predicate_checked_revoked_events,distance_scored_revoked_events,frontier_inserted_revoked_events,expanded_revoked_events,returned_revoked_events,encountered_revoked_id_count,predicate_checked_revoked_id_count,distance_scored_revoked_id_count,frontier_inserted_revoked_id_count,expanded_revoked_id_count,returned_revoked_id_count,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,operational_leakage
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,6,2000,114218,49764,71385,36596,15258,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,7,2000,115467,47781,76264,38919,15250,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,8,2000,124367,49039,77473,37323,15096,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,9,2000,112395,44940,66738,31272,13210,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,0,2000,115105,49135,67298,33186,12600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,1,2000,116806,46654,68597,33493,13420,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,2,2000,116384,46243,71630,35442,14176,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,3,2000,114165,48452,70094,30519,11848,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,4,2000,108856,46450,68330,31158,12761,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,5,2000,121309,52458,73465,35325,14022,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,6,2000,112647,44031,72371,36220,15281,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,7,2000,111625,48031,69978,32176,13112,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,8,2000,123104,51767,67376,30025,11905,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
