table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,test,analysis_scope,metric_family,appendix_destination,attribution_policy,effect_size_note
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0130612,0.241134,-0.2280728,-0.23050892,-0.22566186,3.925303152e-17,1.844892481e-15,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.5,recall10_vs_exact_topk,Tombstone,10,0.9711423,0.9330805,0.0380618,0.03490206,0.04093669,2.486813323e-09,1.243406662e-08,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.5,scored_leakage,Tombstone,10,0.0,0.19299003,-0.19299003,-0.19662049,-0.18942776,6.382277311e-15,1.869023185e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0076103,0.1226634,-0.1150531,-0.1177365,-0.11244509,3.308318228e-14,7.609131925e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,random,0.5,recall10_vs_exact_topk,Tombstone,10,0.9707297,0.9377313,0.0329984,0.03014597,0.03576899,5.490738632e-09,1.243406662e-08,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.5,scored_leakage,Tombstone,10,0.0,0.26344345,-0.26344345,-0.26876173,-0.25802224,9.620023896e-15,2.693606691e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0106763,0.1763197,-0.1656434,-0.16969045,-0.16107526,1.040662979e-13,2.081325958e-12,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.5,recall10_vs_exact_topk,Tombstone,10,0.9736442,0.9381826,0.0354616,0.03357472,0.03791101,2.332111682e-10,2.565322851e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.5,scored_leakage,Tombstone,10,0.0,0.30792219,-0.30792219,-0.31473284,-0.30160357,1.790624137e-14,4.476560343e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0083923,0.2247647,-0.2163724,-0.22014852,-0.2128833,1.820664186e-15,6.372324651e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
